T24,CO2 emission estimates,,,
Region/Country/Area,,Year,Series,Value
104,Myanmar,2018,Emissions per capita (metric tons of carbon dioxide),0.6
516,Namibia,2005,Emissions (thousand metric tons of carbon dioxide),"2,525"
516,Namibia,2010,Emissions (thousand metric tons of carbon dioxide),"3,127"
516,Namibia,2015,Emissions (thousand metric tons of carbon dioxide),"3,906"
516,Namibia,2016,Emissions (thousand metric tons of carbon dioxide),"3,990"
516,Namibia,2017,Emissions (thousand metric tons of carbon dioxide),"3,966"
516,Namibia,2018,Emissions (thousand metric tons of carbon dioxide),"3,883"
516,Namibia,2005,Emissions per capita (metric tons of carbon dioxide),1.3
516,Namibia,2010,Emissions per capita (metric tons of carbon dioxide),1.5
516,Namibia,2015,Emissions per capita (metric tons of carbon dioxide),1.7
516,Namibia,2016,Emissions per capita (metric tons of carbon dioxide),1.7
516,Namibia,2017,Emissions per capita (metric tons of carbon dioxide),1.7
516,Namibia,2018,Emissions per capita (metric tons of carbon dioxide),1.6
524,Nepal,1975,Emissions (thousand metric tons of carbon dioxide),319
524,Nepal,1985,Emissions (thousand metric tons of carbon dioxide),551
524,Nepal,2005,Emissions (thousand metric tons of carbon dioxide),"3,074"
524,Nepal,2010,Emissions (thousand metric tons of carbon dioxide),"4,122"
524,Nepal,2015,Emissions (thousand metric tons of carbon dioxide),"5,694"
524,Nepal,2016,Emissions (thousand metric tons of carbon dioxide),"8,504"
524,Nepal,2017,Emissions (thousand metric tons of carbon dioxide),"10,193"
524,Nepal,2018,Emissions (thousand metric tons of carbon dioxide),"11,187"
524,Nepal,1975,Emissions per capita (metric tons of carbon dioxide),0
524,Nepal,1985,Emissions per capita (metric tons of carbon dioxide),0
524,Nepal,2005,Emissions per capita (metric tons of carbon dioxide),0.1
524,Nepal,2010,Emissions per capita (metric tons of carbon dioxide),0.2
524,Nepal,2015,Emissions per capita (metric tons of carbon dioxide),0.2
524,Nepal,2016,Emissions per capita (metric tons of carbon dioxide),0.3
524,Nepal,2017,Emissions per capita (metric tons of carbon dioxide),0.4
524,Nepal,2018,Emissions per capita (metric tons of carbon dioxide),0.4
528,Netherlands,1975,Emissions (thousand metric tons of carbon dioxide),"131,962"
528,Netherlands,1985,Emissions (thousand metric tons of carbon dioxide),"138,397"
528,Netherlands,2005,Emissions (thousand metric tons of carbon dioxide),"167,490"
528,Netherlands,2010,Emissions (thousand metric tons of carbon dioxide),"170,762"
528,Netherlands,2015,Emissions (thousand metric tons of carbon dioxide),"157,858"
528,Netherlands,2016,Emissions (thousand metric tons of carbon dioxide),"158,034"
528,Netherlands,2017,Emissions (thousand metric tons of carbon dioxide),"155,612"
528,Netherlands,2018,Emissions (thousand metric tons of carbon dioxide),"150,869"
528,Netherlands,1975,Emissions per capita (metric tons of carbon dioxide),9.7
528,Netherlands,1985,Emissions per capita (metric tons of carbon dioxide),9.6
528,Netherlands,2005,Emissions per capita (metric tons of carbon dioxide),10.3
528,Netherlands,2010,Emissions per capita (metric tons of carbon dioxide),10.3
528,Netherlands,2015,Emissions per capita (metric tons of carbon dioxide),9.3
528,Netherlands,2016,Emissions per capita (metric tons of carbon dioxide),9.3
528,Netherlands,2017,Emissions per capita (metric tons of carbon dioxide),9.1
528,Netherlands,2018,Emissions per capita (metric tons of carbon dioxide),8.8
554,New Zealand,1975,Emissions (thousand metric tons of carbon dioxide),"16,430"
554,New Zealand,1985,Emissions (thousand metric tons of carbon dioxide),"18,905"
554,New Zealand,2005,Emissions (thousand metric tons of carbon dioxide),"33,646"
554,New Zealand,2010,Emissions (thousand metric tons of carbon dioxide),"30,248"
554,New Zealand,2015,Emissions (thousand metric tons of carbon dioxide),"31,245"
554,New Zealand,2016,Emissions (thousand metric tons of carbon dioxide),"30,422"
554,New Zealand,2017,Emissions (thousand metric tons of carbon dioxide),"32,227"
554,New Zealand,2018,Emissions (thousand metric tons of carbon dioxide),"31,511"
554,New Zealand,1975,Emissions per capita (metric tons of carbon dioxide),5.3
554,New Zealand,1985,Emissions per capita (metric tons of carbon dioxide),5.8
554,New Zealand,2005,Emissions per capita (metric tons of carbon dioxide),8.1
554,New Zealand,2010,Emissions per capita (metric tons of carbon dioxide),6.9
554,New Zealand,2015,Emissions per capita (metric tons of carbon dioxide),6.8
554,New Zealand,2016,Emissions per capita (metric tons of carbon dioxide),6.5
554,New Zealand,2017,Emissions per capita (metric tons of carbon dioxide),6.7
554,New Zealand,2018,Emissions per capita (metric tons of carbon dioxide),6.5
558,Nicaragua,1975,Emissions (thousand metric tons of carbon dioxide),"1,853"
558,Nicaragua,1985,Emissions (thousand metric tons of carbon dioxide),"1,803"
558,Nicaragua,2005,Emissions (thousand metric tons of carbon dioxide),"4,087"
558,Nicaragua,2010,Emissions (thousand metric tons of carbon dioxide),"4,277"
558,Nicaragua,2015,Emissions (thousand metric tons of carbon dioxide),"5,000"
558,Nicaragua,2016,Emissions (thousand metric tons of carbon dioxide),"5,108"
558,Nicaragua,2017,Emissions (thousand metric tons of carbon dioxide),"5,130"
558,Nicaragua,2018,Emissions (thousand metric tons of carbon dioxide),"4,940"
558,Nicaragua,1975,Emissions per capita (metric tons of carbon dioxide),0.7
558,Nicaragua,1985,Emissions per capita (metric tons of carbon dioxide),0.5
558,Nicaragua,2005,Emissions per capita (metric tons of carbon dioxide),0.8
558,Nicaragua,2010,Emissions per capita (metric tons of carbon dioxide),0.7
558,Nicaragua,2015,Emissions per capita (metric tons of carbon dioxide),0.8
558,Nicaragua,2016,Emissions per capita (metric tons of carbon dioxide),0.8
558,Nicaragua,2017,Emissions per capita (metric tons of carbon dioxide),0.8
558,Nicaragua,2018,Emissions per capita (metric tons of carbon dioxide),0.8
562,Niger,2005,Emissions (thousand metric tons of carbon dioxide),736
562,Niger,2010,Emissions (thousand metric tons of carbon dioxide),"1,359"
562,Niger,2015,Emissions (thousand metric tons of carbon dioxide),"1,954"
562,Niger,2016,Emissions (thousand metric tons of carbon dioxide),"1,952"
562,Niger,2017,Emissions (thousand metric tons of carbon dioxide),"2,049"
562,Niger,2018,Emissions (thousand metric tons of carbon dioxide),"2,266"
562,Niger,2005,Emissions per capita (metric tons of carbon dioxide),0.1
562,Niger,2010,Emissions per capita (metric tons of carbon dioxide),0.1
562,Niger,2015,Emissions per capita (metric tons of carbon dioxide),0.1
562,Niger,2016,Emissions per capita (metric tons of carbon dioxide),0.1
562,Niger,2017,Emissions per capita (metric tons of carbon dioxide),0.1
562,Niger,2018,Emissions per capita (metric tons of carbon dioxide),0.1
566,Nigeria,1975,Emissions (thousand metric tons of carbon dioxide),"10,816"
566,Nigeria,1985,Emissions (thousand metric tons of carbon dioxide),"31,785"
566,Nigeria,2005,Emissions (thousand metric tons of carbon dioxide),"56,558"
566,Nigeria,2010,Emissions (thousand metric tons of carbon dioxide),"56,899"
566,Nigeria,2015,Emissions (thousand metric tons of carbon dioxide),"82,515"
566,Nigeria,2016,Emissions (thousand metric tons of carbon dioxide),"84,185"
566,Nigeria,2017,Emissions (thousand metric tons of carbon dioxide),"85,981"
566,Nigeria,2018,Emissions (thousand metric tons of carbon dioxide),"104,273"
566,Nigeria,1975,Emissions per capita (metric tons of carbon dioxide),0.2
566,Nigeria,1985,Emissions per capita (metric tons of carbon dioxide),0.4
566,Nigeria,2005,Emissions per capita (metric tons of carbon dioxide),0.4
566,Nigeria,2010,Emissions per capita (metric tons of carbon dioxide),0.4
566,Nigeria,2015,Emissions per capita (metric tons of carbon dioxide),0.5
566,Nigeria,2016,Emissions per capita (metric tons of carbon dioxide),0.5
566,Nigeria,2017,Emissions per capita (metric tons of carbon dioxide),0.5
566,Nigeria,2018,Emissions per capita (metric tons of carbon dioxide),0.5
578,Norway,1975,Emissions (thousand metric tons of carbon dioxide),"23,603"
578,Norway,1985,Emissions (thousand metric tons of carbon dioxide),"26,416"
578,Norway,2005,Emissions (thousand metric tons of carbon dioxide),"34,500"
578,Norway,2010,Emissions (thousand metric tons of carbon dioxide),"40,009"
578,Norway,2015,Emissions (thousand metric tons of carbon dioxide),"37,242"
578,Norway,2016,Emissions (thousand metric tons of carbon dioxide),"36,541"
578,Norway,2017,Emissions (thousand metric tons of carbon dioxide),"35,590"
578,Norway,2018,Emissions (thousand metric tons of carbon dioxide),"36,040"
578,Norway,1975,Emissions per capita (metric tons of carbon dioxide),5.9
578,Norway,1985,Emissions per capita (metric tons of carbon dioxide),6.4
578,Norway,2005,Emissions per capita (metric tons of carbon dioxide),7.5
578,Norway,2010,Emissions per capita (metric tons of carbon dioxide),8.2
578,Norway,2015,Emissions per capita (metric tons of carbon dioxide),7.2
578,Norway,2016,Emissions per capita (metric tons of carbon dioxide),7
578,Norway,2017,Emissions per capita (metric tons of carbon dioxide),6.7
578,Norway,2018,Emissions per capita (metric tons of carbon dioxide),6.8
512,Oman,1975,Emissions (thousand metric tons of carbon dioxide),722
512,Oman,1985,Emissions (thousand metric tons of carbon dioxide),"5,636"
512,Oman,2005,Emissions (thousand metric tons of carbon dioxide),"25,182"
512,Oman,2010,Emissions (thousand metric tons of carbon dioxide),"42,556"
512,Oman,2015,Emissions (thousand metric tons of carbon dioxide),"63,904"
512,Oman,2016,Emissions (thousand metric tons of carbon dioxide),"64,757"
512,Oman,2017,Emissions (thousand metric tons of carbon dioxide),"65,117"
512,Oman,2018,Emissions (thousand metric tons of carbon dioxide),"68,773"
512,Oman,1975,Emissions per capita (metric tons of carbon dioxide),0.8
512,Oman,1985,Emissions per capita (metric tons of carbon dioxide),3.8
512,Oman,2005,Emissions per capita (metric tons of carbon dioxide),10
512,Oman,2010,Emissions per capita (metric tons of carbon dioxide),14
512,Oman,2015,Emissions per capita (metric tons of carbon dioxide),15
512,Oman,2016,Emissions per capita (metric tons of carbon dioxide),14.5
512,Oman,2017,Emissions per capita (metric tons of carbon dioxide),14
512,Oman,2018,Emissions per capita (metric tons of carbon dioxide),14.2
586,Pakistan,1975,Emissions (thousand metric tons of carbon dioxide),"19,982"
586,Pakistan,1985,Emissions (thousand metric tons of carbon dioxide),"36,499"
586,Pakistan,2005,Emissions (thousand metric tons of carbon dioxide),"114,970"
586,Pakistan,2010,Emissions (thousand metric tons of carbon dioxide),"129,169"
586,Pakistan,2015,Emissions (thousand metric tons of carbon dioxide),"150,689"
586,Pakistan,2016,Emissions (thousand metric tons of carbon dioxide),"166,253"
586,Pakistan,2017,Emissions (thousand metric tons of carbon dioxide),"183,420"
586,Pakistan,2018,Emissions (thousand metric tons of carbon dioxide),"194,086"
586,Pakistan,1975,Emissions per capita (metric tons of carbon dioxide),0.3
586,Pakistan,1985,Emissions per capita (metric tons of carbon dioxide),0.4
586,Pakistan,2005,Emissions per capita (metric tons of carbon dioxide),0.7
586,Pakistan,2010,Emissions per capita (metric tons of carbon dioxide),0.7
586,Pakistan,2015,Emissions per capita (metric tons of carbon dioxide),0.8
586,Pakistan,2016,Emissions per capita (metric tons of carbon dioxide),0.8
586,Pakistan,2017,Emissions per capita (metric tons of carbon dioxide),0.9
586,Pakistan,2018,Emissions per capita (metric tons of carbon dioxide),0.9
591,Panama,1975,Emissions (thousand metric tons of carbon dioxide),"3,097"
591,Panama,1985,Emissions (thousand metric tons of carbon dioxide),"2,666"
591,Panama,2005,Emissions (thousand metric tons of carbon dioxide),"6,685"
591,Panama,2010,Emissions (thousand metric tons of carbon dioxide),"8,601"
591,Panama,2015,Emissions (thousand metric tons of carbon dioxide),"9,846"
591,Panama,2016,Emissions (thousand metric tons of carbon dioxide),"9,916"
591,Panama,2017,Emissions (thousand metric tons of carbon dioxide),"9,395"
591,Panama,2018,Emissions (thousand metric tons of carbon dioxide),"9,283"
591,Panama,1975,Emissions per capita (metric tons of carbon dioxide),1.8
591,Panama,1985,Emissions per capita (metric tons of carbon dioxide),1.2
591,Panama,2005,Emissions per capita (metric tons of carbon dioxide),2
591,Panama,2010,Emissions per capita (metric tons of carbon dioxide),2.4
591,Panama,2015,Emissions per capita (metric tons of carbon dioxide),2.5
591,Panama,2016,Emissions per capita (metric tons of carbon dioxide),2.5
591,Panama,2017,Emissions per capita (metric tons of carbon dioxide),2.3
591,Panama,2018,Emissions per capita (metric tons of carbon dioxide),2.2
600,Paraguay,1975,Emissions (thousand metric tons of carbon dioxide),704
600,Paraguay,1985,Emissions (thousand metric tons of carbon dioxide),"1,423"
600,Paraguay,2005,Emissions (thousand metric tons of carbon dioxide),"3,473"
600,Paraguay,2010,Emissions (thousand metric tons of carbon dioxide),"4,792"
600,Paraguay,2015,Emissions (thousand metric tons of carbon dioxide),"6,018"
600,Paraguay,2016,Emissions (thousand metric tons of carbon dioxide),"6,803"
600,Paraguay,2017,Emissions (thousand metric tons of carbon dioxide),"7,655"
600,Paraguay,2018,Emissions (thousand metric tons of carbon dioxide),"8,066"
600,Paraguay,1975,Emissions per capita (metric tons of carbon dioxide),0.3
600,Paraguay,1985,Emissions per capita (metric tons of carbon dioxide),0.4
600,Paraguay,2005,Emissions per capita (metric tons of carbon dioxide),0.6
600,Paraguay,2010,Emissions per capita (metric tons of carbon dioxide),0.8
600,Paraguay,2015,Emissions per capita (metric tons of carbon dioxide),0.9
600,Paraguay,2016,Emissions per capita (metric tons of carbon dioxide),1
600,Paraguay,2017,Emissions per capita (metric tons of carbon dioxide),1.1
600,Paraguay,2018,Emissions per capita (metric tons of carbon dioxide),1.2
604,Peru,1975,Emissions (thousand metric tons of carbon dioxide),"18,240"
604,Peru,1985,Emissions (thousand metric tons of carbon dioxide),"18,052"
604,Peru,2005,Emissions (thousand metric tons of carbon dioxide),"28,633"
604,Peru,2010,Emissions (thousand metric tons of carbon dioxide),"41,544"
604,Peru,2015,Emissions (thousand metric tons of carbon dioxide),"49,530"
604,Peru,2016,Emissions (thousand metric tons of carbon dioxide),"52,187"
604,Peru,2017,Emissions (thousand metric tons of carbon dioxide),"49,755"
604,Peru,2018,Emissions (thousand metric tons of carbon dioxide),"50,045"
604,Peru,1975,Emissions per capita (metric tons of carbon dioxide),1.2
604,Peru,1985,Emissions per capita (metric tons of carbon dioxide),0.9
604,Peru,2005,Emissions per capita (metric tons of carbon dioxide),1
604,Peru,2010,Emissions per capita (metric tons of carbon dioxide),1.4
604,Peru,2015,Emissions per capita (metric tons of carbon dioxide),1.6
604,Peru,2016,Emissions per capita (metric tons of carbon dioxide),1.7
604,Peru,2017,Emissions per capita (metric tons of carbon dioxide),1.6
604,Peru,2018,Emissions per capita (metric tons of carbon dioxide),1.6
608,Philippines,1975,Emissions (thousand metric tons of carbon dioxide),"29,250"
608,Philippines,1985,Emissions (thousand metric tons of carbon dioxide),"29,268"
608,Philippines,2005,Emissions (thousand metric tons of carbon dioxide),"71,502"
608,Philippines,2010,Emissions (thousand metric tons of carbon dioxide),"77,128"
608,Philippines,2015,Emissions (thousand metric tons of carbon dioxide),"103,891"
608,Philippines,2016,Emissions (thousand metric tons of carbon dioxide),"114,752"
608,Philippines,2017,Emissions (thousand metric tons of carbon dioxide),"126,488"
608,Philippines,2018,Emissions (thousand metric tons of carbon dioxide),"132,139"
608,Philippines,1975,Emissions per capita (metric tons of carbon dioxide),0.7
608,Philippines,1985,Emissions per capita (metric tons of carbon dioxide),0.5
608,Philippines,2005,Emissions per capita (metric tons of carbon dioxide),0.8
608,Philippines,2010,Emissions per capita (metric tons of carbon dioxide),0.8
608,Philippines,2015,Emissions per capita (metric tons of carbon dioxide),1
608,Philippines,2016,Emissions per capita (metric tons of carbon dioxide),1.1
608,Philippines,2017,Emissions per capita (metric tons of carbon dioxide),1.2
608,Philippines,2018,Emissions per capita (metric tons of carbon dioxide),1.2
616,Poland,1975,Emissions (thousand metric tons of carbon dioxide),"338,900"
616,Poland,1985,Emissions (thousand metric tons of carbon dioxide),"422,392"
616,Poland,2005,Emissions (thousand metric tons of carbon dioxide),"296,261"
616,Poland,2010,Emissions (thousand metric tons of carbon dioxide),"307,493"
616,Poland,2015,Emissions (thousand metric tons of carbon dioxide),"282,708"
616,Poland,2016,Emissions (thousand metric tons of carbon dioxide),"293,211"
616,Poland,2017,Emissions (thousand metric tons of carbon dioxide),"305,825"
616,Poland,2018,Emissions (thousand metric tons of carbon dioxide),"305,748"
616,Poland,1975,Emissions per capita (metric tons of carbon dioxide),10
616,Poland,1985,Emissions per capita (metric tons of carbon dioxide),11.4
616,Poland,2005,Emissions per capita (metric tons of carbon dioxide),7.8
616,Poland,2010,Emissions per capita (metric tons of carbon dioxide),8
616,Poland,2015,Emissions per capita (metric tons of carbon dioxide),7.4
616,Poland,2016,Emissions per capita (metric tons of carbon dioxide),7.6
616,Poland,2017,Emissions per capita (metric tons of carbon dioxide),8
616,Poland,2018,Emissions per capita (metric tons of carbon dioxide),8
620,Portugal,1975,Emissions (thousand metric tons of carbon dioxide),"18,031"
620,Portugal,1985,Emissions (thousand metric tons of carbon dioxide),"23,925"
620,Portugal,2005,Emissions (thousand metric tons of carbon dioxide),"61,386"
620,Portugal,2010,Emissions (thousand metric tons of carbon dioxide),"47,561"
620,Portugal,2015,Emissions (thousand metric tons of carbon dioxide),"46,931"
620,Portugal,2016,Emissions (thousand metric tons of carbon dioxide),"46,460"
620,Portugal,2017,Emissions (thousand metric tons of carbon dioxide),"50,800"
620,Portugal,2018,Emissions (thousand metric tons of carbon dioxide),"47,245"
620,Portugal,1975,Emissions per capita (metric tons of carbon dioxide),2
620,Portugal,1985,Emissions per capita (metric tons of carbon dioxide),2.4
620,Portugal,2005,Emissions per capita (metric tons of carbon dioxide),5.8
620,Portugal,2010,Emissions per capita (metric tons of carbon dioxide),4.5
620,Portugal,2015,Emissions per capita (metric tons of carbon dioxide),4.5
620,Portugal,2016,Emissions per capita (metric tons of carbon dioxide),4.5
620,Portugal,2017,Emissions per capita (metric tons of carbon dioxide),4.9
620,Portugal,2018,Emissions per capita (metric tons of carbon dioxide),4.6
634,Qatar,1975,Emissions (thousand metric tons of carbon dioxide),"4,928"
634,Qatar,1985,Emissions (thousand metric tons of carbon dioxide),"10,686"
634,Qatar,2005,Emissions (thousand metric tons of carbon dioxide),"33,212"
634,Qatar,2010,Emissions (thousand metric tons of carbon dioxide),"55,503"
634,Qatar,2015,Emissions (thousand metric tons of carbon dioxide),"79,919"
634,Qatar,2016,Emissions (thousand metric tons of carbon dioxide),"81,887"
634,Qatar,2017,Emissions (thousand metric tons of carbon dioxide),"84,337"
634,Qatar,2018,Emissions (thousand metric tons of carbon dioxide),"86,995"
634,Qatar,1975,Emissions per capita (metric tons of carbon dioxide),30
634,Qatar,1985,Emissions per capita (metric tons of carbon dioxide),28.8
634,Qatar,2005,Emissions per capita (metric tons of carbon dioxide),38.4
634,Qatar,2010,Emissions per capita (metric tons of carbon dioxide),29.9
634,Qatar,2015,Emissions per capita (metric tons of carbon dioxide),31.1
634,Qatar,2016,Emissions per capita (metric tons of carbon dioxide),30.9
634,Qatar,2017,Emissions per capita (metric tons of carbon dioxide),30.9
634,Qatar,2018,Emissions per capita (metric tons of carbon dioxide),31.3
410,Republic of Korea,1975,Emissions (thousand metric tons of carbon dioxide),"77,728"
410,Republic of Korea,1985,Emissions (thousand metric tons of carbon dioxide),"155,730"
410,Republic of Korea,2005,Emissions (thousand metric tons of carbon dioxide),"457,672"
410,Republic of Korea,2010,Emissions (thousand metric tons of carbon dioxide),"550,916"
410,Republic of Korea,2015,Emissions (thousand metric tons of carbon dioxide),"582,047"
410,Republic of Korea,2016,Emissions (thousand metric tons of carbon dioxide),"589,212"
410,Republic of Korea,2017,Emissions (thousand metric tons of carbon dioxide),"600,034"
410,Republic of Korea,2018,Emissions (thousand metric tons of carbon dioxide),"605,775"
410,Republic of Korea,1975,Emissions per capita (metric tons of carbon dioxide),2.2
410,Republic of Korea,1985,Emissions per capita (metric tons of carbon dioxide),3.8
410,Republic of Korea,2005,Emissions per capita (metric tons of carbon dioxide),9.5
410,Republic of Korea,2010,Emissions per capita (metric tons of carbon dioxide),11.1
410,Republic of Korea,2015,Emissions per capita (metric tons of carbon dioxide),11.4
410,Republic of Korea,2016,Emissions per capita (metric tons of carbon dioxide),11.5
410,Republic of Korea,2017,Emissions per capita (metric tons of carbon dioxide),11.7
410,Republic of Korea,2018,Emissions per capita (metric tons of carbon dioxide),11.7
498,Republic of Moldova,2005,Emissions (thousand metric tons of carbon dioxide),"7,810"
498,Republic of Moldova,2010,Emissions (thousand metric tons of carbon dioxide),"7,947"
498,Republic of Moldova,2015,Emissions (thousand metric tons of carbon dioxide),"7,579"
498,Republic of Moldova,2016,Emissions (thousand metric tons of carbon dioxide),"7,711"
498,Republic of Moldova,2017,Emissions (thousand metric tons of carbon dioxide),"7,528"
498,Republic of Moldova,2018,Emissions (thousand metric tons of carbon dioxide),"7,962"
498,Republic of Moldova,2005,Emissions per capita (metric tons of carbon dioxide),2.2
498,Republic of Moldova,2010,Emissions per capita (metric tons of carbon dioxide),2.2
498,Republic of Moldova,2015,Emissions per capita (metric tons of carbon dioxide),2.1
498,Republic of Moldova,2016,Emissions per capita (metric tons of carbon dioxide),2.2
498,Republic of Moldova,2017,Emissions per capita (metric tons of carbon dioxide),2.1
498,Republic of Moldova,2018,Emissions per capita (metric tons of carbon dioxide),2.2
642,Romania,1975,Emissions (thousand metric tons of carbon dioxide),"140,600"
642,Romania,1985,Emissions (thousand metric tons of carbon dioxide),"174,876"
642,Romania,2005,Emissions (thousand metric tons of carbon dioxide),"92,633"
642,Romania,2010,Emissions (thousand metric tons of carbon dioxide),"74,725"
642,Romania,2015,Emissions (thousand metric tons of carbon dioxide),"69,559"
642,Romania,2016,Emissions (thousand metric tons of carbon dioxide),"67,963"
642,Romania,2017,Emissions (thousand metric tons of carbon dioxide),"70,789"
642,Romania,2018,Emissions (thousand metric tons of carbon dioxide),"71,571"
642,Romania,1975,Emissions per capita (metric tons of carbon dioxide),6.6
642,Romania,1985,Emissions per capita (metric tons of carbon dioxide),7.7
642,Romania,2005,Emissions per capita (metric tons of carbon dioxide),4.3
642,Romania,2010,Emissions per capita (metric tons of carbon dioxide),3.7
642,Romania,2015,Emissions per capita (metric tons of carbon dioxide),3.5
642,Romania,2016,Emissions per capita (metric tons of carbon dioxide),3.5
642,Romania,2017,Emissions per capita (metric tons of carbon dioxide),3.6
642,Romania,2018,Emissions per capita (metric tons of carbon dioxide),3.7
643,Russian Federation,2005,Emissions (thousand metric tons of carbon dioxide),"1,481,897"
643,Russian Federation,2010,Emissions (thousand metric tons of carbon dioxide),"1,529,228"
643,Russian Federation,2015,Emissions (thousand metric tons of carbon dioxide),"1,534,458"
643,Russian Federation,2016,Emissions (thousand metric tons of carbon dioxide),"1,510,558"
643,Russian Federation,2017,Emissions (thousand metric tons of carbon dioxide),"1,536,771"
643,Russian Federation,2018,Emissions (thousand metric tons of carbon dioxide),"1,587,024"
643,Russian Federation,2005,Emissions per capita (metric tons of carbon dioxide),10.3
643,Russian Federation,2010,Emissions per capita (metric tons of carbon dioxide),10.7
643,Russian Federation,2015,Emissions per capita (metric tons of carbon dioxide),10.6
643,Russian Federation,2016,Emissions per capita (metric tons of carbon dioxide),10.5
643,Russian Federation,2017,Emissions per capita (metric tons of carbon dioxide),10.6
643,Russian Federation,2018,Emissions per capita (metric tons of carbon dioxide),11
682,Saudi Arabia,1975,Emissions (thousand metric tons of carbon dioxide),"22,519"
682,Saudi Arabia,1985,Emissions (thousand metric tons of carbon dioxide),"117,802"
682,Saudi Arabia,2005,Emissions (thousand metric tons of carbon dioxide),"297,112"
682,Saudi Arabia,2010,Emissions (thousand metric tons of carbon dioxide),"418,242"
682,Saudi Arabia,2015,Emissions (thousand metric tons of carbon dioxide),"531,394"
682,Saudi Arabia,2016,Emissions (thousand metric tons of carbon dioxide),"527,788"
682,Saudi Arabia,2017,Emissions (thousand metric tons of carbon dioxide),"516,623"
682,Saudi Arabia,2018,Emissions (thousand metric tons of carbon dioxide),"491,656"
682,Saudi Arabia,1975,Emissions per capita (metric tons of carbon dioxide),3
682,Saudi Arabia,1985,Emissions per capita (metric tons of carbon dioxide),9
682,Saudi Arabia,2005,Emissions per capita (metric tons of carbon dioxide),12.5
682,Saudi Arabia,2010,Emissions per capita (metric tons of carbon dioxide),15.3
682,Saudi Arabia,2015,Emissions per capita (metric tons of carbon dioxide),16.8
682,Saudi Arabia,2016,Emissions per capita (metric tons of carbon dioxide),16.3
682,Saudi Arabia,2017,Emissions per capita (metric tons of carbon dioxide),15.6
682,Saudi Arabia,2018,Emissions per capita (metric tons of carbon dioxide),14.6
686,Senegal,1975,Emissions (thousand metric tons of carbon dioxide),"1,609"
686,Senegal,1985,Emissions (thousand metric tons of carbon dioxide),"2,125"
686,Senegal,2005,Emissions (thousand metric tons of carbon dioxide),"4,626"
686,Senegal,2010,Emissions (thousand metric tons of carbon dioxide),"5,458"
686,Senegal,2015,Emissions (thousand metric tons of carbon dioxide),"7,497"
686,Senegal,2016,Emissions (thousand metric tons of carbon dioxide),"8,138"
686,Senegal,2017,Emissions (thousand metric tons of carbon dioxide),"7,787"
686,Senegal,2018,Emissions (thousand metric tons of carbon dioxide),"8,080"
686,Senegal,1975,Emissions per capita (metric tons of carbon dioxide),0.3
686,Senegal,1985,Emissions per capita (metric tons of carbon dioxide),0.3
686,Senegal,2005,Emissions per capita (metric tons of carbon dioxide),0.4
686,Senegal,2010,Emissions per capita (metric tons of carbon dioxide),0.4
686,Senegal,2015,Emissions per capita (metric tons of carbon dioxide),0.5
686,Senegal,2016,Emissions per capita (metric tons of carbon dioxide),0.5
686,Senegal,2017,Emissions per capita (metric tons of carbon dioxide),0.5
686,Senegal,2018,Emissions per capita (metric tons of carbon dioxide),0.5
688,Serbia,2005,Emissions (thousand metric tons of carbon dioxide),"50,320"
688,Serbia,2010,Emissions (thousand metric tons of carbon dioxide),"45,610"
688,Serbia,2015,Emissions (thousand metric tons of carbon dioxide),"44,472"
688,Serbia,2016,Emissions (thousand metric tons of carbon dioxide),"45,496"
688,Serbia,2017,Emissions (thousand metric tons of carbon dioxide),"46,148"
688,Serbia,2018,Emissions (thousand metric tons of carbon dioxide),"44,793"
688,Serbia,2005,Emissions per capita (metric tons of carbon dioxide),6.8
688,Serbia,2010,Emissions per capita (metric tons of carbon dioxide),6.3
688,Serbia,2015,Emissions per capita (metric tons of carbon dioxide),6.3
688,Serbia,2016,Emissions per capita (metric tons of carbon dioxide),6.4
688,Serbia,2017,Emissions per capita (metric tons of carbon dioxide),6.6
688,Serbia,2018,Emissions per capita (metric tons of carbon dioxide),6.4
702,Singapore,1975,Emissions (thousand metric tons of carbon dioxide),"8,440"
702,Singapore,1985,Emissions (thousand metric tons of carbon dioxide),"16,605"
702,Singapore,2005,Emissions (thousand metric tons of carbon dioxide),"36,901"
702,Singapore,2010,Emissions (thousand metric tons of carbon dioxide),"42,414"
702,Singapore,2015,Emissions (thousand metric tons of carbon dioxide),"45,496"
702,Singapore,2016,Emissions (thousand metric tons of carbon dioxide),"46,157"
702,Singapore,2017,Emissions (thousand metric tons of carbon dioxide),"47,429"
702,Singapore,2018,Emissions (thousand metric tons of carbon dioxide),"47,361"
702,Singapore,1975,Emissions per capita (metric tons of carbon dioxide),3.7
702,Singapore,1985,Emissions per capita (metric tons of carbon dioxide),6.1
702,Singapore,2005,Emissions per capita (metric tons of carbon dioxide),8.7
702,Singapore,2010,Emissions per capita (metric tons of carbon dioxide),8.4
702,Singapore,2015,Emissions per capita (metric tons of carbon dioxide),8.2
702,Singapore,2016,Emissions per capita (metric tons of carbon dioxide),8.2
702,Singapore,2017,Emissions per capita (metric tons of carbon dioxide),8.5
702,Singapore,2018,Emissions per capita (metric tons of carbon dioxide),8.4
703,Slovakia,1975,Emissions (thousand metric tons of carbon dioxide),"43,154"
703,Slovakia,1985,Emissions (thousand metric tons of carbon dioxide),"54,413"
